taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2713933	Cyperus diffusus subsp. macrostachyus (Boeckeler) T.Koyama	7070201	Cyperus diffusus var. diffusus	7	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Cyperus	2713455	Cyperus diffusus	2713932	
2715182	Cyperus sphacelatus Rottb.	2715182	Cyperus sphacelatus Rottb.	10	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Cyperus	2713455	Cyperus sphacelatus	2715182	NE
2718920	Kyllinga melanosperma Nees	8644383	Cyperus melanospermus (Nees) Valck.Sur.	5	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Cyperaceae	7708	Cyperus	2713455	Cyperus melanospermus	8644383	LC
2735560	Bentinckia nicobarica (Kurz) Becc.	2735560	Bentinckia nicobarica (Kurz) Becc.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Arecales	552	Arecaceae	7681	Bentinckia	2735559	Bentinckia nicobarica	2735560	EN
2739254	Plectocomia longistigma Madulid	2739254	Plectocomia longistigma Madulid	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Arecales	552	Arecaceae	7681	Plectocomia	2739239	Plectocomia longistigma	2739254	NE
2757916	Globba panicoides Miq.	7227371	Globba pendula subsp. pendula	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Zingiberales	627	Zingiberaceae	4687	Globba	2756692	Globba pendula	2757900	NE
2759778	Hornstedtia paludosa (Blume) K.Schum.	2759778	Hornstedtia paludosa (Blume) K.Schum.	34	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Zingiberales	627	Zingiberaceae	4687	Hornstedtia	2759694	Hornstedtia paludosa	2759778	NT
2788126	Vrydagzynea pauciflora var. unistriata J.J.Sm.	2788126	Vrydagzynea pauciflora var. unistriata J.J.Sm.	1	VARIETY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Vrydagzynea	2788112	Vrydagzynea pauciflora	2788125	
2798777	Malleola baliensis J.J.Sm.	9453928	Robiquetia aberrans (Schltr.) Kocyan & Schuit.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Robiquetia	2818851	Robiquetia aberrans	9453928	NE
2802831	Agrostophyllum sumatranum var. borneense J.J.Sm.	2802829	Agrostophyllum sumatranum Schltr. & J.J.Sm.	3	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Agrostophyllum	2802800	Agrostophyllum sumatranum	2802829	
2811624	Coelogyne pandurata Lindl.	2811624	Coelogyne pandurata Lindl.	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Coelogyne	2811365	Coelogyne pandurata	2811624	NE
2817570	Peristylus goodyeroides (D.Don) Lindl.	2817570	Peristylus goodyeroides (D.Don) Lindl.	31	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Peristylus	2817369	Peristylus goodyeroides	2817570	NE
2818364	Dendrochilum graminifolium (Ames) Pfitzer	12251819	Coelogyne benguetensis M.W.Chase & Schuit.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Coelogyne	2811365	Coelogyne benguetensis	12251819	NE
2818391	Dendrochilum microchilum (Schltr.) Ames	12225682	Coelogyne microchila (Schltr.) M.W.Chase & Schuit.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Coelogyne	2811365	Coelogyne microchila	12225682	NE
2842503	Chelonistele sulphurea (Blume) Pfitzer	2842526	Coelogyne sulphurea (Blume) Rchb.f.	13	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Coelogyne	2811365	Coelogyne sulphurea	2842526	NE
2843309	Bulbophyllum mimiense Schltr.	2843309	Bulbophyllum mimiense Schltr.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Bulbophyllum	9574503	Bulbophyllum mimiense	2843309	NE
2844007	Bulbophyllum andreeae A.D.Hawkes	2844007	Bulbophyllum andreeae A.D.Hawkes	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Bulbophyllum	9574503	Bulbophyllum andreeae	2844007	NE
2864103	Halodule tridentata (Steinh.) Endl. ex Unger	2864102	Halodule uninervis (Forssk.) Boiss.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Alismatales	551	Cymodoceaceae	9640	Halodule	2864092	Halodule uninervis	2864102	NE
2868265	Montrichardia arborea (Kunth) Schott	2868256	Montrichardia arborescens (L.) Schott	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Alismatales	551	Araceae	6979	Montrichardia	8145000	Montrichardia arborescens	2868256	NE
2871901	Cyrtosperma Griff.	2871901	Cyrtosperma Griff.	4	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Alismatales	551	Araceae	6979	Cyrtosperma	2871901			
2887305	Burckella magusum P.Royen	2887305	Burckella magusum P.Royen	7	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Sapotaceae	8802	Burckella	2887290	Burckella magusum	2887305	NE
2888195	Magnolia Plum. ex L.	2888195	Magnolia Plum. ex L.	48	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Magnoliales	718	Magnoliaceae	4690	Magnolia	2888195			NE
